nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.4546783625730993,0.4615384615384615,0.5699404761904762,0.46875,61
resnet50,0.3729617604617604,0.3846153846153846,0.3916666666666666,0.38125,138
vit,0.3928384115884116,0.3846153846153846,0.4510416666666666,0.38125,60
mobilenet_v3_small,0.3145021645021645,0.3333333333333333,0.3947916666666666,0.33125,84
googlenet,0.2851814851814852,0.3076923076923077,0.3141369047619047,0.3,127
dino_vit,0.4729437229437229,0.4871794871794871,0.4925595238095238,0.4812499999999999,94
vgg11,0.3693813131313131,0.358974358974359,0.4858974358974359,0.35625,93
convnext_tiny,0.3586174242424242,0.4102564102564102,0.339745670995671,0.3999999999999999,36
convnext_small,0.3399305555555555,0.358974358974359,0.3549242424242424,0.35,76
convnext_base,0.2936507936507936,0.3076923076923077,0.3357142857142857,0.3,10
efficientnet_v2_s,0.3719870407370407,0.358974358974359,0.4272321428571428,0.3625,63
efficientnet_v2_m,0.2765224358974359,0.3076923076923077,0.362215909090909,0.3,35
densenet121,0.2884199134199134,0.3333333333333333,0.3605072463768116,0.33125,76
se_resnext50,0.3152472527472527,0.358974358974359,0.4628739316239316,0.35,21
nasnet_large,0.3195415287327052,0.3333333333333333,0.3416666666666667,0.33125,67
resnet18,0.44723788638262324,0.46153846153846156,0.5357142857142857,0.4625,133
resnet50,0.3264589169000934,0.3333333333333333,0.43125,0.33125,161
vit,0.36001984126984127,0.358974358974359,0.4107142857142857,0.35625,39
dino_vit,0.5017135642135642,0.5128205128205128,0.5416666666666666,0.5062500000000001,74
convnext_tiny,0.32445887445887445,0.3333333333333333,0.36875,0.325,27
efficientnet_v2_s,0.36904761904761907,0.358974358974359,0.39236111111111105,0.36250000000000004,120
densenet121,0.29330357142857144,0.358974358974359,0.40909090909090906,0.35,63
se_resnext50,0.31047077922077926,0.3333333333333333,0.376984126984127,0.32499999999999996,58
