epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.82219,1.41011,0.28205,1,1.39397,8e-05,8e-05,0.09208
2,9.74704,1.38592,0.35897,1,1.45263,0.000169158,0.000169158,0.0831692
3,11.0088,1.36171,0.30769,1,1.28529,0.000257426,0.000257426,0.0742574
4,12.2358,1.40813,0.33333,1,1.30528,0.000344802,0.000344802,0.0653448
5,19.8885,1.35297,0.4359,1,1.36203,0.000431288,0.000431288,0.0564313
6,23.0816,1.34682,0.4359,1,1.25248,0.000516883,0.000516883,0.0475169
7,28.735,1.30367,0.46154,1,1.26762,0.000601586,0.000601586,0.0386016
8,33.7119,1.29429,0.48718,1,1.23229,0.000685398,0.000685398,0.0296854
9,38.5716,1.29908,0.51282,1,1.16587,0.00076832,0.00076832,0.0207683
10,43.6539,1.18134,0.51282,1,1.07262,0.00085035,0.00085035,0.0118504
11,48.1198,1.26711,0.51282,1,1.16701,0.00093149,0.00093149,0.00293149
12,52.7085,1.16516,0.4359,1,0.99214,0.00094555,0.00094555,0.00094555
13,57.9973,1.13459,0.53846,1,1.15465,0.0009406,0.0009406,0.0009406
14,63.5201,1.12286,0.58974,1,1.10586,0.00093565,0.00093565,0.00093565
15,67.9634,1.0318,0.5641,1,0.9841,0.0009307,0.0009307,0.0009307
16,73.1541,0.99176,0.58974,1,1.09698,0.00092575,0.00092575,0.00092575
17,78.0304,0.95601,0.58974,1,0.84117,0.0009208,0.0009208,0.0009208
18,82.4306,0.96979,0.58974,1,0.85571,0.00091585,0.00091585,0.00091585
19,87.5029,0.95944,0.61538,1,0.92941,0.0009109,0.0009109,0.0009109
20,91.8505,1.00044,0.5641,1,0.83961,0.00090595,0.00090595,0.00090595
21,96.3565,0.86502,0.58974,1,0.89715,0.000901,0.000901,0.000901
22,101.053,0.87147,0.64103,1,0.88512,0.00089605,0.00089605,0.00089605
23,105.334,0.80577,0.58974,1,0.80779,0.0008911,0.0008911,0.0008911
