nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7947368421052631,0.7948717948717948,0.7972222222222222,0.7944444444444445,56.0
dino_vit,0.8235942420152946,0.8205128205128205,0.875,0.8166666666666667,53.0
resnet18,0.8106442577030811,0.8205128205128205,0.8626893939393939,0.8194444444444444,90.0
googlenet,0.7960526315789473,0.7948717948717948,0.8012626262626262,0.7972222222222223,65.0
vit,0.7387218045112782,0.7435897435897436,0.7373737373737375,0.7416666666666667,51.0
YOLOm,0.8984962406015037,0.8974358974358975,0.9017676767676768,0.8999999999999999,
YOLOn,0.8986778540554283,0.8974358974358975,0.9145299145299145,0.8972222222222223,
