epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.57627,1.38011,0.25641,1,1.45392,8e-05,8e-05,0.09208
2,9.53619,1.32737,0.4359,1,1.4087,0.000169158,0.000169158,0.0831692
3,10.6254,1.09265,0.4359,1,0.95408,0.000257426,0.000257426,0.0742574
4,11.88,1.10041,0.53846,1,1.09071,0.000344802,0.000344802,0.0653448
5,17.8332,1.04741,0.64103,1,0.8173,0.000431288,0.000431288,0.0564313
6,21.7245,0.85887,0.61538,1,0.77494,0.000516883,0.000516883,0.0475169
7,26.1605,0.81023,0.74359,1,0.64752,0.000601586,0.000601586,0.0386016
8,31.1231,0.92576,0.69231,1,0.9074,0.000685398,0.000685398,0.0296854
9,36.2422,0.90056,0.66667,1,1.09385,0.00076832,0.00076832,0.0207683
10,40.6344,0.77451,0.61538,1,0.91473,0.00085035,0.00085035,0.0118504
11,45.564,0.88714,0.64103,1,1.04061,0.00093149,0.00093149,0.00293149
12,49.9739,0.89692,0.71795,1,0.75317,0.00094555,0.00094555,0.00094555
13,55.0377,0.76166,0.76923,1,0.7865,0.0009406,0.0009406,0.0009406
14,60.2926,0.59038,0.76923,1,0.69661,0.00093565,0.00093565,0.00093565
15,64.7773,0.57368,0.74359,1,0.63035,0.0009307,0.0009307,0.0009307
16,69.7691,0.66152,0.76923,1,1.07105,0.00092575,0.00092575,0.00092575
17,74.1586,0.53728,0.61538,1,0.72842,0.0009208,0.0009208,0.0009208
18,78.6004,0.64854,0.5641,1,0.95009,0.00091585,0.00091585,0.00091585
19,83.6967,0.55916,0.53846,1,1.0632,0.0009109,0.0009109,0.0009109
20,88.1369,0.60298,0.74359,1,0.83623,0.00090595,0.00090595,0.00090595
21,92.5027,0.62977,0.74359,1,1.82446,0.000901,0.000901,0.000901
22,96.9788,0.46653,0.69231,1,1.5495,0.00089605,0.00089605,0.00089605
23,102.126,0.54137,0.74359,1,0.88227,0.0008911,0.0008911,0.0008911
24,107.436,0.48882,0.69231,1,0.86155,0.00088615,0.00088615,0.00088615
25,111.669,0.55193,0.74359,1,0.84422,0.0008812,0.0008812,0.0008812
26,117.002,0.46458,0.76923,1,0.88349,0.00087625,0.00087625,0.00087625
27,121.704,0.42023,0.79487,1,0.97118,0.0008713,0.0008713,0.0008713
28,125.894,0.46686,0.74359,1,0.47464,0.00086635,0.00086635,0.00086635
29,129.856,0.34895,0.71795,1,0.57604,0.0008614,0.0008614,0.0008614
30,133.9,0.45673,0.71795,1,1.25326,0.00085645,0.00085645,0.00085645
31,139.463,0.52536,0.69231,1,1.32114,0.0008515,0.0008515,0.0008515
32,143.551,0.49957,0.79487,1,0.6261,0.00084655,0.00084655,0.00084655
33,147.955,0.34913,0.79487,1,0.56362,0.0008416,0.0008416,0.0008416
34,152.429,0.2898,0.76923,1,0.7773,0.00083665,0.00083665,0.00083665
35,155.714,0.42726,0.74359,1,0.74602,0.0008317,0.0008317,0.0008317
36,159.633,0.47594,0.76923,1,0.72949,0.00082675,0.00082675,0.00082675
37,164.336,0.52277,0.82051,1,0.40877,0.0008218,0.0008218,0.0008218
38,168.043,0.2934,0.82051,1,0.36792,0.00081685,0.00081685,0.00081685
39,172.275,0.35133,0.79487,1,0.51543,0.0008119,0.0008119,0.0008119
40,176.031,0.49207,0.76923,1,0.50301,0.00080695,0.00080695,0.00080695
41,180.047,0.26046,0.79487,1,0.51682,0.000802,0.000802,0.000802
42,183.759,0.50408,0.79487,1,1.08338,0.00079705,0.00079705,0.00079705
43,187,0.51342,0.76923,1,0.81286,0.0007921,0.0007921,0.0007921
44,191.792,0.42217,0.84615,1,0.94412,0.00078715,0.00078715,0.00078715
45,196.083,0.37368,0.84615,1,0.48036,0.0007822,0.0007822,0.0007822
46,200.717,0.39894,0.79487,1,0.43509,0.00077725,0.00077725,0.00077725
47,205.76,0.27172,0.76923,1,0.52944,0.0007723,0.0007723,0.0007723
48,210.053,0.24327,0.82051,1,1.02877,0.00076735,0.00076735,0.00076735
49,215.221,0.48275,0.84615,1,0.95143,0.0007624,0.0007624,0.0007624
50,220.063,0.42471,0.84615,1,0.36992,0.00075745,0.00075745,0.00075745
51,224.78,0.3284,0.84615,1,0.82274,0.0007525,0.0007525,0.0007525
52,229.698,0.28854,0.87179,1,0.91369,0.00074755,0.00074755,0.00074755
53,234.426,0.46764,0.87179,1,1.46938,0.0007426,0.0007426,0.0007426
54,237.913,0.28851,0.87179,1,0.43515,0.00073765,0.00073765,0.00073765
55,242.767,0.33279,0.84615,1,0.46409,0.0007327,0.0007327,0.0007327
56,246.802,0.27931,0.79487,1,0.85323,0.00072775,0.00072775,0.00072775
57,250.938,0.28781,0.76923,1,0.86563,0.0007228,0.0007228,0.0007228
58,255.14,0.33787,0.79487,1,0.48398,0.00071785,0.00071785,0.00071785
59,259.833,0.27224,0.82051,1,0.55429,0.0007129,0.0007129,0.0007129
60,264.753,0.30454,0.84615,1,0.49924,0.00070795,0.00070795,0.00070795
61,268.454,0.34386,0.82051,1,0.74907,0.000703,0.000703,0.000703
62,273.224,0.35716,0.79487,1,1.05721,0.00069805,0.00069805,0.00069805
63,277.094,0.25378,0.79487,1,0.54581,0.0006931,0.0006931,0.0006931
64,282.438,0.32267,0.84615,1,0.57601,0.00068815,0.00068815,0.00068815
65,286.863,0.28614,0.79487,1,0.58969,0.0006832,0.0006832,0.0006832
66,292.101,0.28235,0.79487,1,0.6985,0.00067825,0.00067825,0.00067825
67,295.965,0.32302,0.82051,1,0.46705,0.0006733,0.0006733,0.0006733
68,299.559,0.24236,0.82051,1,0.80366,0.00066835,0.00066835,0.00066835
69,303.393,0.17109,0.82051,1,0.68803,0.0006634,0.0006634,0.0006634
70,307.678,0.27769,0.84615,1,1.06636,0.00065845,0.00065845,0.00065845
71,311.58,0.35718,0.79487,1,0.70706,0.0006535,0.0006535,0.0006535
