nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.3759920634920635,0.41025641025641024,0.3727678571428571,0.41875,72
resnet50,0.3126925770308123,0.358974358974359,0.33125,0.35000000000000003,163
vit,0.31754079254079254,0.358974358974359,0.3871527777777778,0.35624999999999996,46
mobilenet_v3_small,0.3080357142857143,0.358974358974359,0.28968253968253965,0.35,79
googlenet,0.354563492063492,0.38461538461538464,0.4409722222222222,0.38125,149
dino_vit,0.45847069597069595,0.46153846153846156,0.5110119047619047,0.45625000000000004,72
vgg11,0.29318181818181815,0.3076923076923077,0.3651785714285714,0.30000000000000004,93
convnext_tiny,0.37581168831168826,0.38461538461538464,0.376984126984127,0.3875,49
convnext_small,0.3769230769230769,0.41025641025641024,0.4464285714285714,0.40625,6
convnext_base,0.2668841575091575,0.28205128205128205,0.30154220779220775,0.275,144
efficientnet_v2_s,0.30802853192559077,0.28205128205128205,0.41666666666666663,0.28125,61
efficientnet_v2_m,0.3501984126984127,0.38461538461538464,0.3813492063492063,0.375,135
densenet121,0.2064116439116439,0.2564102564102564,0.19805021367521367,0.25,82
se_resnext50,0.3101572039072039,0.358974358974359,0.34262820512820513,0.35000000000000003,112
nasnet_large,0.3002525252525252,0.3076923076923077,0.30625,0.30000000000000004,27
resnet18,0.28712606837606836,0.3076923076923077,0.3664772727272727,0.31875,88
resnet50,0.3094516594516594,0.358974358974359,0.39134615384615384,0.35,52
vit,0.312049062049062,0.3076923076923077,0.40674603174603174,0.3,29
mobilenet_v3_small,0.34025974025974026,0.358974358974359,0.35,0.35000000000000003,35
googlenet,0.32033770323244004,0.3333333333333333,0.4602678571428571,0.33125,132
dino_vit,0.39200244200244194,0.41025641025641024,0.45801282051282055,0.40625,100
vgg11,0.3133026695526695,0.3076923076923077,0.40148809523809526,0.30625,57
convnext_tiny,0.37424242424242427,0.38461538461538464,0.37529761904761905,0.38125000000000003,54
convnext_small,0.32883297258297256,0.3333333333333333,0.36875,0.33125000000000004,116
convnext_base,0.3018037518037518,0.3333333333333333,0.3610119047619048,0.325,142
efficientnet_v2_s,0.333756038647343,0.3333333333333333,0.5298611111111111,0.33125000000000004,113
efficientnet_v2_m,0.3863365800865801,0.41025641025641024,0.45833333333333337,0.4,135
densenet121,0.24153828197945845,0.28205128205128205,0.2915521978021978,0.275,7
se_resnext50,0.28642534366218575,0.3076923076923077,0.32261904761904764,0.30000000000000004,125
nasnet_large,0.2780032467532467,0.3076923076923077,0.28273809523809523,0.30000000000000004,162
