nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7097135955831608,0.717948717948718,0.7234952547452548,0.711111111111111,34.0
dino_vit,0.8235942420152946,0.8205128205128205,0.875,0.8166666666666667,53.0
resnet18,0.7791424262012496,0.7948717948717948,0.8522727272727273,0.7944444444444444,7.0
googlenet,0.6914327485380117,0.6923076923076923,0.725,0.6944444444444444,50.0
vit,0.7157894736842105,0.717948717948718,0.7138888888888889,0.7194444444444444,57.0
YOLOm,0.5549334875650666,0.5641025641025641,0.6594065656565656,0.5666666666666667,
YOLOn,0.5261904761904762,0.5641025641025641,0.5952380952380952,0.5722222222222222,
