epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.4162,1.30012,0.25641,1,1.44972,0.0008,0.0008,0.0928
2,12.8624,1.23133,0.4359,1,1.14803,0.00169158,0.00169158,0.0846916
3,14.6964,1.20436,0.5641,1,1.11437,0.00257426,0.00257426,0.0765743
4,16.4537,1.14275,0.4359,1,2.35877,0.00344802,0.00344802,0.068448
5,23.2349,1.43082,0.25641,1,9.31466,0.00431288,0.00431288,0.0603129
6,27.4399,1.28974,0.30769,1,8.34831,0.00516882,0.00516882,0.0521688
7,33.594,1.13354,0.41026,1,2.30285,0.00601586,0.00601586,0.0440159
8,39.978,1.42804,0.33333,1,3.27521,0.00685398,0.00685398,0.035854
9,46.4561,1.36072,0.28205,1,9.21515,0.0076832,0.0076832,0.0276832
10,52.9193,1.29111,0.20513,1,13.0662,0.0085035,0.0085035,0.0195035
11,58.821,1.42045,0.23077,1,21.8304,0.0093149,0.0093149,0.0113149
12,64.7277,1.66661,0.25641,1,47.3609,0.0094555,0.0094555,0.0094555
13,71.1204,1.50343,0.30769,1,19.9063,0.009406,0.009406,0.009406
14,78.4713,1.3422,0.35897,1,3.19627,0.0093565,0.0093565,0.0093565
15,84.2668,1.34891,0.38462,1,2.53287,0.009307,0.009307,0.009307
16,91.2463,1.25238,0.33333,1,3.69665,0.0092575,0.0092575,0.0092575
17,98.1338,1.34461,0.35897,1,2.26903,0.009208,0.009208,0.009208
18,104.028,1.24665,0.38462,1,1.89942,0.0091585,0.0091585,0.0091585
19,111.192,1.33932,0.35897,1,2.16865,0.009109,0.009109,0.009109
20,117.194,1.39177,0.41026,1,1.73528,0.0090595,0.0090595,0.0090595
21,123.336,1.47562,0.30769,1,1.78624,0.00901,0.00901,0.00901
22,129.37,1.32611,0.33333,1,3.56278,0.0089605,0.0089605,0.0089605
23,135.18,1.40115,0.30769,1,3.96512,0.008911,0.008911,0.008911
24,141.574,1.22748,0.41026,1,1.53659,0.0088615,0.0088615,0.0088615
25,146.663,1.39918,0.4359,1,1.26921,0.008812,0.008812,0.008812
26,153.343,1.24377,0.46154,1,1.29724,0.0087625,0.0087625,0.0087625
27,159.016,1.42194,0.33333,1,2.3748,0.008713,0.008713,0.008713
28,164.556,1.22919,0.30769,1,1.92702,0.0086635,0.0086635,0.0086635
29,169.614,1.24062,0.33333,1,1.83611,0.008614,0.008614,0.008614
30,174.849,1.38089,0.28205,1,1.4746,0.0085645,0.0085645,0.0085645
31,182.375,1.35959,0.25641,1,2.01861,0.008515,0.008515,0.008515
32,188.091,1.70696,0.33333,1,1.34402,0.0084655,0.0084655,0.0084655
33,193.796,1.71111,0.38462,1,1.46134,0.008416,0.008416,0.008416
