nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7576754385964912,0.7692307692307693,0.8,0.7749999999999999,61.0
dino_vit,0.7744238046095631,0.7692307692307693,0.7991071428571428,0.7666666666666666,65.0
resnet18,0.7974249482401655,0.7948717948717948,0.8186188811188811,0.7944444444444445,66.0
googlenet,0.7142857142857142,0.717948717948718,0.7101010101010101,0.7222222222222222,185.0
vit,0.7125350140056023,0.717948717948718,0.7130681818181819,0.7138888888888888,41.0
YOLOm,0.8984962406015037,0.8974358974358975,0.9017676767676768,0.8999999999999999,
YOLOn,0.8986778540554283,0.8974358974358975,0.9145299145299145,0.8972222222222223,
