nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7197587719298245,0.717948717948718,0.7494047619047619,0.7138888888888889,15.0
dino_vit,0.8010526315789473,0.7948717948717948,0.8444444444444444,0.7916666666666667,106.0
resnet18,0.7904411764705882,0.7948717948717948,0.8080357142857143,0.7944444444444445,56.0
googlenet,0.6695350241545893,0.6666666666666666,0.6910277222777222,0.6638888888888889,13.0
vit,0.7387218045112782,0.7435897435897436,0.7373737373737375,0.7416666666666667,51.0
YOLOm,0.8723684210526316,0.8717948717948718,0.8767676767676768,0.875,
YOLOn,0.8184343434343435,0.8205128205128205,0.8256944444444444,0.8194444444444444,
