nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.8106442577030811,0.8205128205128205,0.8626893939393939,0.8194444444444444,90.0
vit,0.6368629908103591,0.6410256410256411,0.6416666666666666,0.6416666666666667,28.0
googlenet,0.7069444444444445,0.717948717948718,0.7279491341991342,0.7222222222222222,60.0
dino_vit,0.7201754385964912,0.717948717948718,0.7511904761904762,0.7138888888888889,47.0
vgg11,0.7176344393592677,0.717948717948718,0.742948717948718,0.7194444444444444,12.0
YOLOm,0.8680555555555556,0.8717948717948718,0.9007936507936508,0.8722222222222222,
YOLOn,0.8704958795112248,0.8717948717948718,0.8860576923076923,0.8694444444444445,
