nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.4050054112554112,0.4358974358974359,0.5496212121212121,0.43125,47
resnet50,0.3787487430869783,0.3846153846153846,0.5427083333333333,0.38125,112
vit,0.35625,0.358974358974359,0.3744047619047619,0.35625,68
mobilenet_v3_small,0.4003690753690753,0.4102564102564102,0.4745535714285714,0.4125,36
googlenet,0.4169531448943214,0.4358974358974359,0.5243818681318682,0.44375,142
dino_vit,0.4427301864801864,0.4358974358974359,0.4843749999999999,0.43125,82
vgg11,0.4118506493506493,0.4358974358974359,0.5041666666666667,0.4375,105
convnext_tiny,0.429004329004329,0.4358974358974359,0.4660714285714286,0.43125,12
convnext_small,0.3496031746031746,0.3333333333333333,0.4053571428571428,0.3375,47
convnext_base,0.2933035714285714,0.358974358974359,0.3196678321678321,0.35,5
efficientnet_v2_s,0.256547619047619,0.2564102564102564,0.3553571428571428,0.25,14
efficientnet_v2_m,0.3118055555555555,0.3333333333333333,0.3285714285714285,0.325,127
densenet121,0.2554258241758241,0.282051282051282,0.2683712121212121,0.28125,84
se_resnext50,0.2954049422799423,0.3076923076923077,0.3195075757575757,0.30625,38
nasnet_large,0.3029761904761905,0.3333333333333333,0.3916666666666666,0.33125,189
resnet18,0.39697681704260646,0.41025641025641024,0.444047619047619,0.40625,73
resnet50,0.3564980158730159,0.358974358974359,0.39778138528138524,0.35625,150
vit,0.31767676767676767,0.3076923076923077,0.3449404761904762,0.30625,126
mobilenet_v3_small,0.3591736694677871,0.358974358974359,0.39226190476190476,0.36250000000000004,47
googlenet,0.39522283272283276,0.38461538461538464,0.44270833333333337,0.38750000000000007,145
dino_vit,0.43068181818181817,0.4358974358974359,0.44107142857142856,0.43125,116
vgg11,0.37929292929292924,0.38461538461538464,0.42291666666666666,0.38125000000000003,60
convnext_tiny,0.38770396270396273,0.41025641025641024,0.375,0.4125,48
convnext_small,0.35540754180460066,0.3333333333333333,0.4304487179487179,0.33125,17
convnext_base,0.3004113941613942,0.358974358974359,0.2777777777777778,0.35,14
efficientnet_v2_s,0.1936202686202686,0.23076923076923078,0.1759920634920635,0.225,85
efficientnet_v2_m,0.3302083333333333,0.358974358974359,0.339745670995671,0.35,43
densenet121,0.19123931623931625,0.23076923076923078,0.24583333333333332,0.23125,37
se_resnext50,0.2972756410256411,0.3076923076923077,0.3821022727272727,0.30625,69
nasnet_large,0.2883928571428571,0.28205128205128205,0.31856060606060604,0.2875,135
