nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.3242778055278055,0.358974358974359,0.3464962121212121,0.375,115
resnet50,0.3989087301587302,0.4358974358974359,0.4506944444444444,0.425,139
vit,0.4048701298701298,0.4102564102564102,0.4827380952380952,0.40625,47
mobilenet_v3_small,0.2917582417582418,0.3333333333333333,0.3038194444444444,0.3375,77
googlenet,0.2590277777777778,0.3076923076923077,0.3195075757575757,0.31875,83
dino_vit,0.4779761904761904,0.5128205128205128,0.4695436507936508,0.50625,119
vgg11,0.3490308302808302,0.358974358974359,0.3857638888888889,0.35625,86
convnext_tiny,0.336038961038961,0.3333333333333333,0.4171626984126984,0.33125,16
convnext_small,0.3619103119103118,0.3846153846153846,0.3839285714285714,0.3875,86
convnext_base,0.3089646464646465,0.3333333333333333,0.2994047619047619,0.325,10
efficientnet_v2_s,0.3238747363747363,0.3333333333333333,0.3565972222222222,0.33125,61
efficientnet_v2_m,0.3417117604617604,0.358974358974359,0.5020833333333333,0.3562499999999999,90
densenet121,0.2424682805117587,0.282051282051282,0.3333333333333333,0.275,30
se_resnext50,0.2705298786181139,0.3076923076923077,0.3720238095238095,0.30625,21
nasnet_large,0.2963286713286713,0.3333333333333333,0.2730654761904761,0.33125,150
resnet18,0.33412698412698416,0.358974358974359,0.3549242424242424,0.36875,54
resnet50,0.3103174603174603,0.3333333333333333,0.3423701298701299,0.3375,56
vit,0.39495226995226995,0.38461538461538464,0.44687499999999997,0.38125000000000003,98
mobilenet_v3_small,0.3232843137254902,0.358974358974359,0.3214285714285714,0.36250000000000004,67
googlenet,0.25631313131313127,0.3076923076923077,0.3345588235294118,0.30625,45
dino_vit,0.4969787157287157,0.5128205128205128,0.5138888888888888,0.50625,57
vgg11,0.4224296536796537,0.4358974358974359,0.45178571428571423,0.43125,83
convnext_tiny,0.3636120823620823,0.358974358974359,0.378125,0.3625,6
convnext_small,0.36153499278499274,0.358974358974359,0.3910714285714286,0.3625,26
convnext_base,0.2626373626373626,0.3076923076923077,0.26842948717948717,0.30625,140
efficientnet_v2_s,0.31919191919191914,0.3333333333333333,0.3086309523809524,0.3375,113
efficientnet_v2_m,0.41281565656565655,0.41025641025641024,0.46837121212121213,0.4125,56
densenet121,0.23194444444444445,0.23076923076923078,0.26458333333333334,0.23125,37
se_resnext50,0.29535637973137974,0.3076923076923077,0.3195075757575757,0.3125,160
nasnet_large,0.3070436507936508,0.3076923076923077,0.32916666666666666,0.31875,115
