nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.386204481792717,0.4102564102564102,0.4172619047619047,0.41875,56
resnet50,0.3756474519632414,0.3846153846153846,0.4901785714285714,0.375,32
vit,0.3229166666666667,0.3333333333333333,0.3473214285714285,0.325,49
mobilenet_v3_small,0.2489267676767677,0.2564102564102564,0.244047619047619,0.2625,52
googlenet,0.2692550505050505,0.282051282051282,0.3090277777777778,0.275,117
dino_vit,0.4862373737373737,0.4871794871794871,0.5270833333333333,0.48125,44
vgg11,0.3759920634920635,0.3846153846153846,0.4018939393939393,0.38125,87
convnext_tiny,0.358270202020202,0.358974358974359,0.3802083333333333,0.36875,47
convnext_small,0.2874076903488668,0.3076923076923077,0.3741071428571428,0.30625,98
convnext_base,0.3129960317460317,0.3333333333333333,0.3159722222222222,0.33125,39
efficientnet_v2_s,0.247086247086247,0.2307692307692307,0.3385416666666666,0.2375,57
efficientnet_v2_m,0.3466054778554778,0.358974358974359,0.362797619047619,0.35,77
densenet121,0.3236705288175876,0.3333333333333333,0.3387820512820513,0.33125,34
se_resnext50,0.3340981934731934,0.358974358974359,0.3500631313131312,0.3562499999999999,95
nasnet_large,0.2793100174679122,0.3076923076923077,0.3907738095238094,0.3,71
resnet18,0.38312447786132,0.3846153846153846,0.5017857142857143,0.3875,67
resnet50,0.3884469696969697,0.4102564102564102,0.4788461538461538,0.4,115
vit,0.281517094017094,0.3076923076923077,0.2723214285714285,0.3,34
mobilenet_v3_small,0.260515873015873,0.282051282051282,0.256547619047619,0.28125,69
googlenet,0.286139208014208,0.3076923076923077,0.315340909090909,0.3,88
dino_vit,0.456547619047619,0.4615384615384615,0.4639880952380952,0.45625,66
vgg11,0.3879419191919192,0.4102564102564102,0.3839285714285714,0.40625,54
convnext_tiny,0.3456043956043956,0.358974358974359,0.37569444444444444,0.3625,93
convnext_small,0.29166666666666663,0.28205128205128205,0.3794642857142857,0.28125,19
convnext_base,0.2915313852813853,0.3076923076923077,0.30257936507936506,0.30000000000000004,25
efficientnet_v2_s,0.25342261904761904,0.2564102564102564,0.30492424242424243,0.25625000000000003,101
efficientnet_v2_m,0.3234598734598735,0.3333333333333333,0.381547619047619,0.325,121
densenet121,0.3149524087024087,0.3333333333333333,0.38690476190476186,0.33125000000000004,28
se_resnext50,0.34659090909090906,0.358974358974359,0.3768939393939394,0.35000000000000003,46
nasnet_large,0.2521103896103896,0.28205128205128205,0.24633838383838383,0.28125,6
