nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.267968142968143,0.282051282051282,0.2866161616161616,0.28125,131
resnet50,0.3386474636474637,0.358974358974359,0.3523809523809523,0.35625,19
vit,0.4380050505050505,0.4358974358974359,0.4651785714285714,0.43125,52
mobilenet_v3_small,0.3051282051282051,0.3333333333333333,0.2955357142857143,0.3375,71
googlenet,0.2777777777777778,0.3076923076923077,0.3553921568627451,0.3,96
dino_vit,0.4686348373848373,0.4871794871794871,0.475,0.48125,86
vgg11,0.3769258519258519,0.3846153846153846,0.4293154761904761,0.38125,80
convnext_tiny,0.2942460317460317,0.3076923076923077,0.3843434343434344,0.30625,30
convnext_small,0.294047619047619,0.3076923076923077,0.3208333333333333,0.3,97
convnext_base,0.3139085179526356,0.3333333333333333,0.34375,0.33125,157
efficientnet_v2_s,0.2898989898989899,0.3076923076923077,0.2851190476190476,0.30625,48
efficientnet_v2_m,0.3452651515151514,0.3333333333333333,0.4488636363636363,0.33125,121
densenet121,0.2458333333333333,0.2564102564102564,0.306060606060606,0.25625,40
se_resnext50,0.3308982683982684,0.358974358974359,0.3432539682539682,0.3625,37
nasnet_large,0.28880772005772,0.3076923076923077,0.305952380952381,0.3125,14
resnet18,0.2844246031746031,0.3333333333333333,0.2895833333333333,0.3375,133
resnet50,0.3158730158730158,0.3333333333333333,0.4506944444444444,0.325,120
vit,0.4166666666666666,0.4102564102564102,0.4386904761904762,0.40625,171
mobilenet_v3_small,0.274496336996337,0.3076923076923077,0.2709821428571428,0.3125,83
googlenet,0.2758498445998446,0.3333333333333333,0.3342948717948718,0.325,32
dino_vit,0.45984848484848484,0.46153846153846156,0.49375,0.45625000000000004,128
vgg11,0.3823260073260073,0.38461538461538464,0.4290178571428571,0.38125000000000003,53
convnext_tiny,0.3256313131313131,0.3333333333333333,0.4086309523809524,0.33125,83
convnext_small,0.32139939309056953,0.358974358974359,0.3368055555555556,0.35625,9
convnext_base,0.2683531746031746,0.3076923076923077,0.2777777777777778,0.30000000000000004,123
efficientnet_v2_s,0.33688949938949936,0.358974358974359,0.33616071428571426,0.36875,36
efficientnet_v2_m,0.38495670995670994,0.38461538461538464,0.4309523809523809,0.38125,75
densenet121,0.20352564102564102,0.23076923076923078,0.20896291208791207,0.23124999999999998,78
se_resnext50,0.3333333333333333,0.38461538461538464,0.3996212121212121,0.38125,45
nasnet_large,0.2785103785103785,0.28205128205128205,0.446875,0.28125,54
