nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.3836309523809524,0.3846153846153846,0.5640151515151515,0.38125,119
resnet50,0.3125839438339438,0.3076923076923077,0.353125,0.3125,170
vit,0.3264908702408702,0.3076923076923077,0.3751488095238095,0.30625,75
mobilenet_v3_small,0.2998931623931624,0.3333333333333333,0.2947916666666667,0.33125,23
googlenet,0.3540674603174603,0.358974358974359,0.3868055555555555,0.35,150
dino_vit,0.3346944721944722,0.358974358974359,0.3275297619047619,0.35625,67
vgg11,0.3558760683760683,0.3846153846153846,0.4302083333333333,0.38125,31
convnext_tiny,0.3464646464646465,0.358974358974359,0.3520833333333333,0.3562499999999999,67
convnext_small,0.2549603174603174,0.2564102564102564,0.2862103174603174,0.25,19
convnext_base,0.2669042397660818,0.3333333333333333,0.271103896103896,0.325,17
efficientnet_v2_s,0.2861950549450549,0.282051282051282,0.3117559523809524,0.2875,101
efficientnet_v2_m,0.3380411255411255,0.358974358974359,0.3270833333333333,0.3625,57
densenet121,0.2620729813664596,0.282051282051282,0.3535714285714286,0.28125,36
se_resnext50,0.2799630924630925,0.282051282051282,0.296875,0.275,46
nasnet_large,0.3337301587301587,0.3076923076923077,0.4093749999999999,0.3125,190
resnet18,0.3729166666666666,0.38461538461538464,0.4544642857142857,0.38125000000000003,90
resnet50,0.29329004329004327,0.3076923076923077,0.31845238095238093,0.30000000000000004,80
vit,0.34791666666666665,0.3333333333333333,0.384280303030303,0.33125000000000004,17
mobilenet_v3_small,0.3381035631035631,0.358974358974359,0.41488095238095235,0.36875,13
googlenet,0.40776515151515147,0.4358974358974359,0.4005952380952381,0.42500000000000004,90
dino_vit,0.3414918414918415,0.358974358974359,0.3551587301587301,0.3625,101
vgg11,0.3691558441558441,0.358974358974359,0.4236111111111111,0.35625,37
convnext_tiny,0.3551587301587301,0.38461538461538464,0.3492063492063492,0.38749999999999996,87
convnext_small,0.3244318181818182,0.3333333333333333,0.40625,0.33125000000000004,20
convnext_base,0.24358974358974358,0.3076923076923077,0.2089285714285714,0.30000000000000004,39
efficientnet_v2_s,0.3090152902652903,0.3333333333333333,0.3125,0.3375,103
efficientnet_v2_m,0.3125,0.3076923076923077,0.41369047619047616,0.30625,65
densenet121,0.25584203378321024,0.28205128205128205,0.26875,0.28125,59
se_resnext50,0.3173611111111111,0.3076923076923077,0.3461309523809524,0.3,32
nasnet_large,0.3272907647907648,0.28205128205128205,0.4201388888888889,0.2875,186
