nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7947368421052631,0.7948717948717948,0.7972222222222222,0.7944444444444445,56.0
dino_vit,0.8010526315789473,0.7948717948717948,0.8444444444444444,0.7916666666666667,68.0
resnet18,0.8106442577030811,0.8205128205128205,0.8626893939393939,0.8194444444444444,90.0
googlenet,0.7494152046783625,0.7435897435897436,0.7535353535353535,0.7472222222222222,66.0
vit,0.7125350140056023,0.717948717948718,0.7130681818181819,0.7138888888888888,41.0
YOLOm,0.8984962406015037,0.8974358974358975,0.9017676767676768,0.8999999999999999,
YOLOn,0.8986778540554283,0.8974358974358975,0.9145299145299145,0.8972222222222223,
