nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.3162406629318394,0.3333333333333333,0.35238095238095235,0.34375,29
resnet50,0.25830558330558334,0.3076923076923077,0.25550595238095236,0.30000000000000004,154
vit,0.33544372294372293,0.358974358974359,0.3500992063492063,0.35000000000000003,42
mobilenet_v3_small,0.3418525918525918,0.38461538461538464,0.4086309523809524,0.3875,59
googlenet,0.2802960927960928,0.28205128205128205,0.39285714285714285,0.2875,61
dino_vit,0.47245670995670996,0.48717948717948717,0.5919413919413918,0.48125,81
vgg11,0.35370670995670994,0.38461538461538464,0.37688492063492063,0.38125,117
convnext_tiny,0.34960407239819,0.358974358974359,0.4239583333333333,0.3625,60
convnext_small,0.2697649572649573,0.3076923076923077,0.26413690476190477,0.30000000000000004,28
convnext_base,0.27457264957264954,0.3076923076923077,0.2633928571428571,0.30000000000000004,158
efficientnet_v2_s,0.3124188311688312,0.3333333333333333,0.40568181818181814,0.33125,78
efficientnet_v2_m,0.3464174306086071,0.3333333333333333,0.5381944444444444,0.33125000000000004,102
densenet121,0.1914302802460697,0.23076923076923078,0.2757936507936508,0.225,57
se_resnext50,0.36118777056277057,0.38461538461538464,0.45148809523809524,0.39375000000000004,42
nasnet_large,0.2560390997890998,0.2564102564102564,0.3071969696969697,0.25625,89
resnet18,0.28687423687423685,0.3333333333333333,0.2861111111111111,0.3375,66
resnet50,0.2793831168831169,0.3333333333333333,0.3208333333333333,0.325,140
vit,0.3469336219336219,0.3333333333333333,0.41101190476190474,0.33125,75
mobilenet_v3_small,0.3330357142857143,0.38461538461538464,0.3146825396825397,0.375,46
googlenet,0.2857142857142857,0.3076923076923077,0.3268939393939394,0.3125,134
dino_vit,0.3850940725940726,0.41025641025641024,0.49759615384615385,0.40625,109
vgg11,0.33216575091575096,0.358974358974359,0.3620535714285714,0.35625,98
convnext_tiny,0.33055555555555555,0.3333333333333333,0.4044642857142857,0.3375,88
convnext_small,0.295475357975358,0.3076923076923077,0.38169642857142855,0.30000000000000004,99
convnext_base,0.3112049714990891,0.3333333333333333,0.3458333333333333,0.33125000000000004,36
efficientnet_v2_s,0.2930826118326118,0.3076923076923077,0.3,0.3125,104
efficientnet_v2_m,0.4110833610833611,0.41025641025641024,0.5538194444444444,0.40625,112
densenet121,0.25581592320722757,0.3076923076923077,0.2861111111111111,0.30000000000000004,76
se_resnext50,0.2798611111111111,0.3076923076923077,0.30625,0.30625,82
nasnet_large,0.31076388888888884,0.3333333333333333,0.31534090909090906,0.325,176
