nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7420502983802216,0.7435897435897436,0.7597985347985348,0.7416666666666667,35.0
dino_vit,0.7487468671679197,0.7435897435897436,0.8019480519480519,0.7388888888888889,22.0
resnet18,0.710576923076923,0.717948717948718,0.7465773809523809,0.7166666666666667,33.0
googlenet,0.747549019607843,0.7435897435897436,0.7659090909090909,0.7472222222222222,90.0
vit,0.7041132242370631,0.717948717948718,0.7019480519480519,0.7166666666666666,20.0
YOLOm,0.9249076442171072,0.9230769230769232,0.9423076923076924,0.9222222222222224,
YOLOn,0.8964587646652863,0.8974358974358975,0.9195804195804196,0.8944444444444445,
