nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
vgg11,0.7921052631578946,0.7948717948717948,0.7944444444444444,0.7916666666666666,80.0
dino_vit,0.8010526315789473,0.7948717948717948,0.8444444444444444,0.7916666666666667,16.0
resnet18,0.7955542264752791,0.7948717948717948,0.8321678321678322,0.8,14.0
googlenet,0.7960526315789473,0.7948717948717948,0.8012626262626262,0.7972222222222223,65.0
vit,0.7295454545454546,0.7435897435897436,0.740530303030303,0.7416666666666666,13.0
YOLOm,0.8966630130312995,0.8974358974358975,0.9195804195804196,0.8972222222222221,
YOLOn,0.784441856452726,0.7948717948717948,0.8031274281274281,0.7944444444444444,
